Tweet,Suicide,Cleaned_Tweet
"Coming home stoked bears this afternoon with mikeyj, Alton towers tomorrow.",Not Suicide post,coming home stoked bear afternoon mikeyj alton tower tomorrow
I streamed two episodes of Riverdale and I hate myself so damn much because now I have no data ð­ð­ð­,Potential Suicide post ,streamed two episode riverdale hate damn much data
@tweetie well that's impressive. Both spot 25 AND spot 26 http://twitpic.com/2yabd,Not Suicide post,well thats impressive spot spot
iâm so tired of living,Potential Suicide post ,im tired living
Now I gotta go into the bank tomorrow and see what the fuck is going on. I had problems about 3 weeks ago with a biâ¦ https://t.co/I0WIPHXt5u,Potential Suicide post ,got ta go bank tomorrow see fuck going problem week ago bi
"@therealnph yeah, cool bookshelves I've got the one with the various books that are pinned to the wall",Not Suicide post,yeah cool bookshelf ive got one various book pinned wall
#cflsc1 enough of the shameless book plug,Not Suicide post,enough shameless book plug
,Potential Suicide post ,
why do i get attached so easily this is the one thing i hate about myself the most i end up being my own worst enemy all the damn time,Potential Suicide post ,get attached easily one thing hate end worst enemy damn time
"@betchbelleza,,RT @jaemverse: i just dont want to be here anymore",Potential Suicide post ,rt dont want anymore
"thanks to @Posh_Totty cant wait to get home from work tonight, for some reason",Not Suicide post,thanks cant wait get home work tonight reason
Bad habits are more difficult to identify in your work life. #careerinspiration #careergrowth #habits,Not Suicide post,bad habit difficult identify work life
nearly holidays on the other hand.... camping D: D: D:,Not Suicide post,nearly holiday hand camping
In tired of everything. Cant wait to die.,Potential Suicide post ,tired everything cant wait die
health anxiety prompting some bad thoughts in my head i have been struggling for 2 months now with some health issues as a 26 year old male my pessimistic nature just makes me think about the worst my hands and feet are currently tingling and burning i just keep picturing myself on a wheelchair being a burden to my family girlfriend and so on suicide thoughts come to my mind as i prefer to put a sudden end to everything instead of deteriorating myself day after day losing motor and cognitive functions life is already hard as it is and now my health is failing for the first time ,Potential Suicide post ,health anxiety prompting bad thought head struggling month health issue year old male pessimistic nature make think worst hand foot currently tingling burning keep picturing wheelchair burden family girlfriend suicide thought come mind prefer put sudden end everything instead deteriorating day day losing motor cognitive function life already hard health failing first time
DANIEL WON!,Potential Suicide post ,daniel
@brightlydusted a friend i knew online from last night finally added me up on his messenger.,Not Suicide post,friend knew online last night finally added messenger
"@btchtits,Leven, Scotland,dont want to be here anymore",Potential Suicide post ,leven scotlanddont want anymore
@agpublic have you seen this link? Me thinks you might like it http://bit.ly/Mr2jY,Not Suicide post,seen link think might like
There was a young man who got tired of staying in this world. They called this the living world but he does not feeâ¦ https://t.co/oGrCQipO0Z,Potential Suicide post ,young man got tired staying world called living world fee
patient: i hate myself and i want to die,Potential Suicide post ,patient hate want die
@davethackeray LOL! You saw that? Hahaha...was a fun day of exploration and experimentation!,Not Suicide post,lol saw hahahawas fun day exploration experimentation
@michaelgrainger @Scyranth *gigglessssssss* Ya'll are awesomesauce,Not Suicide post,giggle yall awesomesauce
CUT MY WRIST AND BLACK MY EYES,Potential Suicide post ,cut wrist black eye
"RT @rikis_e: since we're talking abt him, hey uhh remember when YandereDev said intellectually disabled people deserve to die, played RapeLâ¦",Potential Suicide post ,rt since talking abt hey uhh remember yanderedev said intellectually disabled people deserve die played rapel
"I never knew that my grandfather ð´ð¾ death was so hard on my mother like it is on me, I guess maybe I thought she waâ¦ https://t.co/WYgCqINw4O",Potential Suicide post ,never knew grandfather death hard mother like guess maybe thought wa
"RT @mjs03093641: TWEETS  are the real life,  awkward conversation starters between strangers.",Potential Suicide post ,rt tweet real life awkward conversation starter stranger
"Eating an Ed's waffle, with icecream cream n chocolate sauce. OMGOSH amazing!!!!",Not Suicide post,eating ed waffle icecream cream n chocolate sauce omgosh amazing
"wow, im sooo sad i had everything planned out on when i was going to leave home &amp; go to college in denver... and yoâ¦ https://t.co/rXS5MlxBqf",Potential Suicide post ,wow im sooo sad everything planned going leave home amp go college denver yo
@snigdha are you expecting?,Not Suicide post,expecting
how many times do i have to be in this position for my fucking mother to realise that if i stay here iâll either kiâ¦ https://t.co/lBQ8hoeHC2,Potential Suicide post ,many time position fucking mother realise stay ill either ki
wanted to kill him.,Not Suicide post,wanted kill
"@zephrode @julouille3 Comme je le dis si bien ""let me hate myself god fucking damn it""",Potential Suicide post ,comme je le dis si bien let hate god fucking damn
"Hello, people on Facebook. Do you like the way I'm spamming all of your newsfeeds with Twitter?",Not Suicide post,hello people facebook like way im spamming newsfeeds twitter
"@bcuban @Popehat Not a lawyer, but I was diagnosed with depression when I was 12-13. My brother swore up and down tâ¦ https://t.co/eMWrR6PBWh",Potential Suicide post ,lawyer diagnosed depression brother swore
Getting blown out by the worst team in the league while they wearing these is whatâs gonna be in my suicide note https://t.co/pFrF1Iol4a,Potential Suicide post ,getting blown worst team league wearing whats gon na suicide note
maybe i think i deserve to die,Potential Suicide post ,maybe think deserve die
i m not good at pretending that i am ok so i look like shit i dont smile i still have acne i am 19 i have black circles under my eyes and i have a very pale skin cuz i never leave my house only when i go to school so people stare at me every day some of them point at me and they just laugh some of them give me that disgusted look and some of them just tell me that i m ugly or that i look like a fucking methhead i m so fucking depressed for many other reasons but i think this is the worst one i also have social anxiety so i dont have any friends and i never had a gf when i try to talk to someone i just turn red and its so embarrassing i have already attempted suicide last month and i still feel like shit,Potential Suicide post ,good pretending ok look like shit dont smile still acne black circle eye pale skin cuz never leave house go school people stare every day point laugh give disgusted look tell ugly look like fucking methhead fucking depressed many reason think worst one also social anxiety dont friend never gf try talk someone turn red embarrassing already attempted suicide last month still feel like shit
If you're tired of living for the 1st and 15th and you NEED to do some IMMEDIATELY...like when your regular deodoraâ¦ https://t.co/6xpv0nBVua,Potential Suicide post ,youre tired living st th need immediatelylike regular deodora
I want you to come home right after school.,Not Suicide post,want come home right school
"@hellomonette,buk - cdo,i dont want to be here anymore",Potential Suicide post ,buk cdoi dont want anymore
RT @EekrawK: This is my sister-in-law Sana on the left and her on the right. It's nice to hire your family members and create a conflict oâ¦,Not Suicide post,rt sisterinlaw sana left right nice hire family member create conflict
in debt i will kill myself on thursday i am going to stab myself in the stomach or take a lot of pills i m not sure which to do yet sorry for spelling and grammar i am sure nobody here cares anyways ,Potential Suicide post ,debt kill thursday going stab stomach take lot pill sure yet sorry spelling grammar sure nobody care anyways
@whiskymac1746 Afternoon to you too,Not Suicide post,afternoon
Today i almost kill myself because I almost hit by a car.,Not Suicide post,today almost kill almost hit car
It's always great to hear from actors whom I've directed! Trying to encourage them to join Twitter!,Not Suicide post,always great hear actor ive directed trying encourage join twitter
@ShannonRenee,Not Suicide post,
I want to go park.,Not Suicide post,want go park
Last few hour in England...,Not Suicide post,last hour england
"@mcherrywv pleasant is right thank u V8 ppl, ur the best!!!",Not Suicide post,pleasant right thank u v ppl ur best
how many people does he wanna rip it out of really,Not Suicide post,many people wan na rip really
I LOVE sleeping until I'm FINISHED!,Not Suicide post,love sleeping im finished
"@spindlestudios Why, yes, she is the exceptionally talented goose that works for you! And, Brioso, well, you just wouldn't understand.",Not Suicide post,yes exceptionally talented goose work brioso well wouldnt understand
everyone follow kade,Not Suicide post,everyone follow kade
"@GlamLifeGuru Omg!!!! Theres fires and craziness goin on and you cant go home cause of it, and people are seriouslyâ¦ https://t.co/TFVjk6d2m7",Potential Suicide post ,omg there fire craziness goin cant go home cause people seriously
@olimould Lewis,Not Suicide post,lewis
honestly i'm so tired of everything and myself can i just die already,Potential Suicide post ,honestly im tired everything die already
"@luvmandy384 I am now, by .. um.. 2 WOOOO!",Not Suicide post,um woooo
Females will be fucked up in the head and blame a nigga for them being fucked up...yâall gotta take accountabilityâ¦ https://t.co/7JIY10zPEG,Potential Suicide post ,female fucked head blame nigga fucked upyall got ta take accountability
i wanna fucking die im so tired of feeling pain constantly GOD i need to be left alone and cry and wallow in my misery until i feel better,Potential Suicide post ,wan na fucking die im tired feeling pain constantly god need left alone cry wallow misery feel better
i dont tell people how i feel because i am pretty sure nobody cares about me even writing this brings me anxiety because i know i have to interact with people i just wish i could cry myself to sleep and never wake up no one would every truly miss me,Potential Suicide post ,dont tell people feel pretty sure nobody care even writing brings anxiety know interact people wish could cry sleep never wake one would every truly miss
"Now playing J. Gardna ft 2 Pistols, Tone Trump &amp; Drop - Die Alone (Remix) (Dirty) on Street Style Radio",Potential Suicide post ,playing j gardna ft pistol tone trump amp drop die alone remix dirty street style radio
Bed time!,Not Suicide post,bed time
"If any of you are having a boring Easter, then send me a note on msn I love to chat with people. My msn is ninaalbertsen@gmail.com",Not Suicide post,boring easter send note msn love chat people msn ninaalbertsencom
"You DO know that you have absolutely no power... yet. And when you do, this whole thing will be dead and forgotten.â¦ https://t.co/eZRhCl3IWc",Potential Suicide post ,know absolutely power yet whole thing dead forgotten
RT @normanilovato97: why is it that everyday i hate my life more and more i really feel im destined to be miserable forever,Potential Suicide post ,rt everyday hate life really feel im destined miserable forever
daycare is so damn expensive. and the only reason why im getting a discount is because the owner knows my aunt. butâ¦ https://t.co/6Ml25B4CYE,Potential Suicide post ,daycare damn expensive reason im getting discount owner know aunt
Isn't it sad that after seeing a firetruck in front of a building my first thought was to look up in case someone wâ¦ https://t.co/Ro8dAw5j0N,Potential Suicide post ,isnt sad seeing firetruck front building first thought look case someone w
hahaha how is everyone?,Not Suicide post,hahaha everyone
Just woke up ...Good morning everyonee!,Not Suicide post,woke good morning everyonee
i can t do this anymore i have no hope i m a senior in college and i just want to die i don t fit in and i feel like no one cares about me everyday i wake up and i try to tell myself that today is a new day but it doesn t work i hate everything about myself and i feel so alone i have no one i don t care how i look and i don t even want to get up in the mornings i just want to end it all end all the suffering and the pain i just want to feel nothing for my anxiety and depression to leave me alone i don t know where to turn but i just can t keep doing this anymore ,Potential Suicide post ,anymore hope senior college want die fit feel like one care everyday wake try tell today new day work hate everything feel alone one care look even want get morning want end end suffering pain want feel nothing anxiety depression leave alone know turn keep anymore
@gilloux I hope you're planning a kennel launch party,Not Suicide post,hope youre planning kennel launch party
"@TylersDunflower,Trench,I'm not feeling happy",Potential Suicide post ,trenchim feeling happy
Living as a hardcore empath is so hard. I'm tired of being nice and putting emotional labor into those who are undeserving,Potential Suicide post ,living hardcore empath hard im tired nice putting emotional labor undeserving
@Allanahk but 26 characters? Yr last tweet wouldn't have made the cut...,Not Suicide post,character yr last tweet wouldnt made cut
"@TheLoneDude1,United States,Why is everything so cancerous now. Like I cant even remember anymore if all this corporate crap has always been here or not but it's freaking stupid. I just want to watch a youtube video, I dont want to be force-fed a stupid product every time i go online like its cable TV.",Potential Suicide post ,united stateswhy everything cancerous like cant even remember anymore corporate crap always freaking stupid want watch youtube video dont want forcefed stupid product every time go online like cable tv
please forgive me i tried to get help i dont know what else to say i am tired of being a burden on everyone else i am tired of everyone writing me off i cant help who i am and i have tried to get help i have a plan and in a few weeks i will no longer be a part of this world,Potential Suicide post ,please forgive tried get help dont know else say tired burden everyone else tired everyone writing cant help tried get help plan week longer part world
i feel like my time is coming soon like i m running out of time i ve had enough and i m ready to call it quits i ve attempted before but this time i can t afford to fail i have many different pills and other ways i can end it i just need to figure out the best time when maybe tonight maybe tomorrow who knows,Potential Suicide post ,feel like time coming soon like running time enough ready call quits attempted time afford fail many different pill way end need figure best time maybe tonight maybe tomorrow know
i dont know anymore these 4 words make my life a living hell no matter who i say it to in the sudden absence of happiness i know only sadness i have nothing to look forward to because i have fucked my chances up at even having something decent no job no girlfriend and absolutely nothing to motivate me at this point i dont even know why i am still alive it pains me that i am alive,Potential Suicide post ,dont know anymore word make life living hell matter say sudden absence happiness know sadness nothing look forward fucked chance even something decent job girlfriend absolutely nothing motivate point dont even know still alive pain alive
Had a nice lunch time for some work now.,Not Suicide post,nice lunch time work
@Fran6 thx,Not Suicide post,thx
"I work with a lot of Russians in the SoCal office and they look completely miserable. Whenever I see them,â¦ https://t.co/f3hfTkoc4E",Potential Suicide post ,work lot russian socal office look completely miserable whenever see
"Hello, world!!! Tis my first tweet",Not Suicide post,hello world ti first tweet
@Pete_Brown That's In-and-Out,Not Suicide post,thats inandout
she want to kill him.,Not Suicide post,want kill
"""Suicide has now become my new world and I am desperately searching for answers. Because to those that knew him besâ¦ https://t.co/l2nYZIdS7k",Potential Suicide post ,suicide become new world desperately searching answer knew be
"Has anyone had an great success stories on Twitter? If so, I would love to hear your story. DM me",Not Suicide post,anyone great success story twitter would love hear story dm
Is awesome i do believe you're all jealous. But i sorta dont wanna go to dancing tonight. Someone else drive me?,Not Suicide post,awesome believe youre jealous sorta dont wan na go dancing tonight someone else drive
@sixers got the best team in the east. @warriors vs @sixers in the chip.,Not Suicide post,got best team east v chip
is watching some of his old stuff on Youtube... ahhh the memories,Not Suicide post,watching old stuff youtube ahhh memory
"I know I canât get all the things i want in life, but when does it get to feel like at least fixing my mouth to sayâ¦ https://t.co/teGorYjZWQ",Potential Suicide post ,know cant get thing want life get feel like least fixing mouth say
"@slydevil damn right!, kinda hate myself for not having the system to lay it on... being poor sucks",Potential Suicide post ,damn right kinda hate system lay poor suck
in curand voi fi pe .ro thx to blogway si CNSC,Not Suicide post,curand voi fi pe ro thx blogway si cnsc
"@edwinksl Stanford Summit 2008 short video http://www.youtube.com/watch?v=YAxcVIJu-XQ . Remebering magical, funtastic,roller coaster ride",Not Suicide post,stanford summit short video remebering magical funtasticroller coaster ride
When I was in middle school I wanted to be emo don't judge,Potential Suicide post ,middle school wanted emo dont judge
happy birthday!,Not Suicide post,happy birthday
Oh my god if that Jim Acosta did to that woman was fucking abuse WHAT DO YOU THINK TRUMP HAS DONE TO FUCKING WOMENâ¦ https://t.co/U1eFGgIyuy,Potential Suicide post ,oh god jim acosta woman fucking abuse think trump done fucking woman
i am newly married and my husband is wonderful i love him so much we are very much in love so why am i suicidal i honestly cant figure it out 9 days out of 10 i am absolutely fine happy positive excited about life then it hits me depression crippling anxiety suicidal thoughts i cut i cry i crumble on days like this i cant believe that anyone cares at all about me except my husband then i feel like i dont deserve him and sometimes push him away whats wrong with me what should i do i just cant shake the thought that everyone would be better off without me especially my husband,Potential Suicide post ,newly married husband wonderful love much much love suicidal honestly cant figure day absolutely fine happy positive excited life hit depression crippling anxiety suicidal thought cut cry crumble day like cant believe anyone care except husband feel like dont deserve sometimes push away whats wrong cant shake thought everyone would better without especially husband
@khalidh nothing before BlogWorld Expo on the schedule at this stage - have netbook will travel tho',Not Suicide post,nothing blogworld expo schedule stage netbook travel tho
thanks #Aylesbury #Audi for very quick service in fitting shiny new number plates,Not Suicide post,thanks quick service fitting shiny new number plate
i feel like no one cares i just want to die maybe then i d feel less lonely,Potential Suicide post ,feel like one care want die maybe feel le lonely
"Today, one year ago, I lost a neighbour, and friend, to #suicide. So here is a quote that got me through my worst tâ¦ https://t.co/a83mtDdWsA",Potential Suicide post ,today one year ago lost neighbour friend quote got worst
HootSuite monetizing Twitter - shurely shum mishtake? http://ow.ly/2g0Y,Not Suicide post,hootsuite monetizing twitter shurely shum mishtake
"I feel sorry for my 64 followers, cause my posts probably take up their entire page",Not Suicide post,feel sorry follower cause post probably take entire page
@TinaCook Morning Tina - the fact is we'll do something with it. Wouldn't it be great if it was something BIG?,Not Suicide post,morning tina fact well something wouldnt great something big
"Wow! Just back from my longest ever non stop run, 14 miles. Now I truly know what sore legs feel like! delighted tho",Not Suicide post,wow back longest ever non stop run mile truly know sore leg feel like delighted tho
"@JasonStatham1 Greetings Jason. So far, Twitter's great today. Thanks for taking a moment for us. Enjoy your swim. Hugs, Angel",Not Suicide post,greeting jason far twitter great today thanks taking moment u enjoy swim hug angel
But his blood runs through my instrument and his song is iâ¦ https://t.co/vKSEal470M,Potential Suicide post ,blood run instrument song
@mikeyway Liking it,Not Suicide post,liking
Tired of living this life,Potential Suicide post ,tired living life
She want to be a doctor,Not Suicide post,want doctor
"Good morning, @mirandaanzures .... Only about eight hours until Noodles.... The only positive thing I can think of right now",Not Suicide post,good morning eight hour noodle positive thing think right
It's going to be a beautiful day--I am going to have a new granddaughter!,Not Suicide post,going beautiful dayi going new granddaughter
you guys are mean I would never wake up my friends,Potential Suicide post ,guy mean would never wake friend
"Mesh mohm, i just wanted you to know that youâre the softest person came to my miserable life â Oh this is sweet",Potential Suicide post ,mesh mohm wanted know youre softest person came miserable life oh sweet
DISAPPEARING WHEN YOU WAKE UP BUT THERES NOTHING TO BE AFRAID OF EVEN WHEN THE NIGHT CHANGES IT WILL NEVER CHANGE ME AND YOU,Potential Suicide post ,disappearing wake there nothing afraid even night change never change
So tired of living with these niggas.. only 2 1/2 months to go,Potential Suicide post ,tired living nigga month go
"@vespertitties,,god kill me literally just. fuckin hang me stab me burn me alive",Potential Suicide post ,god kill literally fuckin hang stab burn alive
@tommcfly hot chocolate xx,Not Suicide post,hot chocolate xx
What a great feeling and never gave up well done @67Shakey @BeWiser kept a cool head all weekend. #age is nothing https://t.co/GDFHwwsk2s,Not Suicide post,great feeling never gave well done kept cool head weekend nothing
@aprilmcvey whyy dont you update somemore mom! HAVE A BLESSED DAY!,Not Suicide post,whyy dont update somemore mom blessed day
cheated on my gf drunk and now i wanna kill myself didnt know what i was doing was shitfaced drunk an d now i am all alone with no gf and my friends hate me for cheating i dont want to feel pain anymore ,Potential Suicide post ,cheated gf drunk wan na kill didnt know shitfaced drunk alone gf friend hate cheating dont want feel pain anymore
"Having someone want your love, your passion, your heart and your soul... To return it all in kind measure... This is the greatest gift of all.",Not Suicide post,someone want love passion heart soul return kind measure greatest gift
"@mint69 yo mate it is working! like a charm, be prepared to tweet my feed! some interesting people to follow too if you can find them",Not Suicide post,yo mate working like charm prepared tweet feed interesting people follow find
RT @BreakfastNews: âRegional Australia would be Siberia without the ABCâ,Not Suicide post,rt regional australia would siberia without abc
Who the fuck looses their damn keys? I hate myself ð¤¦ð¼ââï¸,Potential Suicide post ,fuck loos damn key hate
i wanna die pls i'm tired of everything,Potential Suicide post ,wan na die pls im tired everything
@DonalMacIntyre ello you were fab on DOI im going to the tour tmwr cant wait!! xxx,Not Suicide post,ello fab doi im going tour tmwr cant wait xxx
@DanceMassTV Thanks! It's just what I think.,Not Suicide post,thanks think
@alonpeer 10x man any tips or ideas?,Not Suicide post,x man tip idea
i want to be a engineer.,Not Suicide post,want engineer
"I want to be out in the sun, walking down a beach, with Joey",Not Suicide post,want sun walking beach joey
i sexually harassed my crush i feel like there is no place for me in the world for a long time now about half a year i have been touching my crush who is not interested in me without consent i work alongside him and we are both part of a very tight group of friends so he has to see me every day and every single time i try to touch him stare at him and sometimes even take pictures of him only recently i have realized the implications of what i have done and that i am hurting him i feel like i betrayed him and myself for doing something that is completely against all my values i want to change and i know i can but i amafraid i will lose the will to live if i cant get myself to stop touching him ,Potential Suicide post ,sexually harassed crush feel like place world long time half year touching crush interested without consent work alongside part tight group friend see every day every single time try touch stare sometimes even take picture recently realized implication done hurting feel like betrayed something completely value want change know amafraid lose live cant get stop touching
I hate when I have to rate my group members because Iâll ALWAYS rate them higher than Iâd rate myself knowing damnâ¦ https://t.co/bFUvC55DTT,Potential Suicide post ,hate rate group member ill always rate higher id rate knowing damn
Havenât watched WWE since Extreme Rules. I will now begin last nightâs Monday Night Raw. This is my suicide note.,Potential Suicide post ,havent watched wwe since extreme rule begin last night monday night raw suicide note
@wookim and the consensus was... ?,Not Suicide post,consensus
@xdcd What are you saying about yourself,Not Suicide post,saying
RT @voidpaola: LOLOLOLOLOL I HATE HOW I TRUST PEOPLE WITH UGLY PICTURES OF MYSELF AND THEN THEY BREAK THAT TRUST LIKE LOL DAMN OK IT BE LIKâ¦,Potential Suicide post ,rt lololololol hate trust people ugly picture break trust like lol damn ok lik
RT @jmattjmattjmatt: When youâre trying to go out for pre-game and you hear... âAy come take this pic with your family!!!â Oh well... happyâ¦,Not Suicide post,rt youre trying go pregame hear ay come take pic family oh well happy
"RT @PostRoz: In AF1 call, Theresa May tried to flatter Trump with congratulations for GOP wins in the midterms. He responded by berating thâ¦",Not Suicide post,rt af call theresa may tried flatter trump congratulation gop win midterm responded berating th
He doesn't want to give up but he's afraid to even touch the equipment much less pack it up.,Not Suicide post,doesnt want give he afraid even touch equipment much le pack
@elleeseymour I didn't realise you were trustee. There are loads of you aren't there? Find RASE structure quite confusing!,Not Suicide post,didnt realise trustee load arent find rase structure quite confusing
"I feel an infinite sadness in my soul and I feel so lonely, so empty, so disappointed, so desperate, so distressed,â¦ https://t.co/SwTFkygc5k",Potential Suicide post ,feel infinite sadness soul feel lonely empty disappointed desperate distressed
@Mennard have fun! bet you unearth all sorts of goodies!!,Not Suicide post,fun bet unearth sort goody
@yerea679 not tired.,Not Suicide post,tired
"RT @tomorrowithryu: And I hate the fact if it's true Dojae will do surgery, Dojae has to endure the pain alone :'( without Segye ð­ð­ð­ð­ altouâ¦",Potential Suicide post ,rt hate fact true dojae surgery dojae endure pain alone without segye altou
I want one of those http://bit.ly/9m1kO,Not Suicide post,want one
Chillin,Not Suicide post,chillin
Good morning.,Not Suicide post,good morning
My workplace gets so much better when good weather strikes. http://tinyurl.com/cp7n6w,Not Suicide post,workplace get much better good weather strike
Beans on toast with Simona. Can it get any better ?,Not Suicide post,bean toast simona get better
@fisbeed get back to work,Not Suicide post,get back work
why cant I loose enough blood on my period that I just die ugh â IDK go see a doctor https://t.co/P2PTooYnT5,Potential Suicide post ,cant loose enough blood period die ugh idk go see doctor
"@sanguivori,kaycee!!â¡ glenn!!â¡,i dont want to be here anymore i wish i was dead",Potential Suicide post ,kaycee glenni dont want anymore wish dead
"I fell in love with her courage, her sincerity, and her flaming self respect. I love her and it is the beginning of everything.",Not Suicide post,fell love courage sincerity flaming self respect love beginning everything
RT @axelsoup: the false information of hanyu never having to study like any other person as if he didn't have to wake up at 5AM to take entâ¦,Potential Suicide post ,rt false information hanyu never study like person didnt wake take ent
"RT andreamvaldez: ""Trumpy Bear isnât your average meme-bred merch gone viral: It appeals to everyone and no one, itâ¦ https://t.co/yhS4IpnQTJ",Potential Suicide post ,rt andreamvaldez trumpy bear isnt average memebred merch gone viral appeal everyone one
@mrsgiggles83 hey black hair suits u by the way,Not Suicide post,hey black hair suit u way
"I hate that Iâm at war with myself daily. I hate living at home like this, bc Iâm told my emotions donât matter. Iâ¦ https://t.co/1gPpI18pwQ",Potential Suicide post ,hate im war daily hate living home like bc im told emotion dont matter
RT @damnitdolann: I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body and constâ¦,Potential Suicide post ,rt fucking hate whole family making feel fat im done feeling bad body const
"@healthwarrior A watched pot never boiled, mate - distraction is the name of the game",Not Suicide post,watched pot never boiled mate distraction name game
Dunno why my phones done me so dirty and made videos of me and my exâs Cos of face recognition with the backgroundâ¦ https://t.co/x6KfbmgBP9,Potential Suicide post ,dunno phone done dirty made video ex co face recognition background
spent 1 day doing 'research' ... i'm feeling Great! an achievement! =D,Not Suicide post,spent day research im feeling great achievement
@Raawry Lol good id we should all dress up as twitt bird and listen to twit podcast all night! @apattys thanks,Not Suicide post,lol good id dress twitt bird listen twit podcast night thanks
@shruticute Hmmm... my mom... well... thanni thelichu vettutaanga...,Not Suicide post,hmmm mom well thanni thelichu vettutaanga
poor @littlebrownpen ! Fortunately you have a good sense of humor,Not Suicide post,poor fortunately good sense humor
@nellclothing @TdMPhotography Crikey! Check out the Manfrotto worshipers!,Not Suicide post,crikey check manfrotto worshiper
about to open birthday presents,Not Suicide post,open birthday present
"After looking at the American suicide statistics, I was shocked to see that white men in their 40s-50s lead. Rightâ¦ https://t.co/ZLYTWuxVbQ",Potential Suicide post ,looking american suicide statistic shocked see white men s lead right
I have amazing people in my life that encourage nothing except the positive. Thank you Lord for blessing me.,Not Suicide post,amazing people life encourage nothing except positive thank lord blessing
"@judyk113 Yeah, we're going to have neither, but it's all good. Hope you do.",Not Suicide post,yeah going neither good hope
@SamanthaPaige3 This is the best thing to pop on my Twitter all dayðð what cracks me up is that billy is in it tooððð,Not Suicide post,best thing pop twitter day crack billy
I hate myself,Potential Suicide post ,hate
@SLDalby Why YES xx,Not Suicide post,yes xx
@DmitriCain Ok thanks! I am not getting off Twitter just yet.,Not Suicide post,ok thanks getting twitter yet
Home sweet home shower time,Not Suicide post,home sweet home shower time
@Cathay_Pacific just wanted to say a big thank you for being such a great airline. As a travel writer things like this mean A LOT!,Not Suicide post,wanted say big thank great airline travel writer thing like mean lot
"@suziam what 'bout something a bit more Lo-Fi.. Dictation (failing that, one of those projected keyboards)",Not Suicide post,bout something bit lofi dictation failing one projected keyboard
I was called in yesterday at the Guidance Counselor's office. I thought I did something bad as my ID was blocked. Iâ¦ https://t.co/jka0bYtvG9,Potential Suicide post ,called yesterday guidance counselor office thought something bad id blocked
Hi what the fuck have I been doing with my life lately?,Potential Suicide post ,hi fuck life lately
"ok, everyone who's racing this weekend, dm me with a picture of your car &amp; the make and model. i'll put it all up on my blog",Not Suicide post,ok everyone who racing weekend dm picture car amp make model ill put blog
@baikini I don't want them using my phone.,Not Suicide post,dont want using phone
"Can't wait until the new Star Trek movie comes out, looks good",Not Suicide post,cant wait new star trek movie come look good
I want you to sense my magic without touch.,Not Suicide post,want sense magic without touch
when that muffin guy said âplease somebody kill meâ I felt that shit,Potential Suicide post ,muffin guy said please somebody kill felt shit
"@laurene planning to do that, too. while in transit anyway",Not Suicide post,planning transit anyway
I got twitter 4 my iPod touch yaaaaaay!!!!!!!!!!!!!!,Not Suicide post,got twitter ipod touch yaaaaaay
The Orange TV #iPhone app is really disappointing. Low quality video streams and obviously nothing interesting on the TV,Not Suicide post,orange tv app really disappointing low quality video stream obviously nothing interesting tv
RT @camerondallas: if i donât love anything i canât get hurt,Not Suicide post,rt dont love anything cant get hurt
Time to fly! Ord-dca-ord-clt 16hrs clt-ord-iad-mco 13hrs mco-ord hm in time for date night,Not Suicide post,time fly orddcaordclt hr cltordiadmco hr mcoord hm time date night
says just watched Mall Cop. http://plurk.com/p/n0s0q,Not Suicide post,say watched mall cop
"@monster344, how great is that?",Not Suicide post,great
@WAHMBizbuilder absolutely! Are you due in Melb any time soon?,Not Suicide post,absolutely due melb time soon
Iâm a fucking lunatic when I get angry itâs so terrible I need to work on this so bad before I end up doing somethiâ¦ https://t.co/13FuEpPVue,Potential Suicide post ,im fucking lunatic get angry terrible need work bad end somethi
@declanshalvey yea you're right it's shite,Not Suicide post,yea youre right shite
"trying to find something formal to wear in a casual closet, jeans and popculture shirt will do good enough.",Not Suicide post,trying find something formal wear casual closet jean popculture shirt good enough
@Sam_Johnson I'm with ya there,Not Suicide post,im ya
RT @CapcomFighters: Congratulations again to @tokidoki77 for taking the Asia Regional Finals title! Thanks to @Yoshi_OnoChin for giving out,Not Suicide post,rt congratulation taking asia regional final title thanks giving
@beijingboyce &quot;ice&quot; Why?,Not Suicide post,quoticequot
I don't want you to start feeling neglected.,Not Suicide post,dont want start feeling neglected
@pinkfrangipani it's take me to the river from sydenee,Not Suicide post,take river sydenee
@idazz Even I can't run that far! Yet!,Not Suicide post,even cant run far yet
It's one of the perks of working for the NYSE Ger!,Not Suicide post,one perk working nyse ger
going back to straighten my hair download some nds roms first though,Not Suicide post,going back straighten hair download nd rom first though
Fake news just went ballistic. Get ready.                                 You thought fake news was bad? Deep fakesâ¦ https://t.co/LnXcyfRktk,Potential Suicide post ,fake news went ballistic get ready thought fake news bad deep fake
"@HZilionis The thing to remember is, obsessing sucks up energy you could put into that new story! I say kick worry to the curb.",Not Suicide post,thing remember obsessing suck energy could put new story say kick worry curb
@tommcfly http://twitpic.com/2y9c6 - hide it well from everyone!,Not Suicide post,hide well everyone
"@slxmdunk,United Kingdom,@Pamaj what hapens if i dont want to be here anymore?",Potential Suicide post ,united kingdom hapens dont want anymore
"@gcoakley13,,2nd is 'i dont want to be here anymore' by em too",Potential Suicide post ,nd dont want anymore em
